ID,Quote,Author,Tags
1,"Do what you love, love what you do, and with all your heart give yourself to it.","Roy T. Bennett, The Light in the Heart","do,doing,heart,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,love,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
2,"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","boyfriend,girlfriend,inspirational,jealous,life,love,marriage,men,motivational,relationship,women"
3,"I don't care if you're black, white, straight, bisexual, gay, lesbian, short, tall, fat, skinny, rich or poor. If you're nice to me, I'll be nice to you. Simple as that.",Robert Michaels,"advice,kindness,leadership,love,management,people,respect,success"
4,"I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","breakup,commit,deserve,goodbye,happiness,inspirational,life,love,motivational,relationship,respect"
5,"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.","Roy T. Bennett, The Light in the Heart","gratitude,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,light,live-life-to-the-fullest,living,love,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
6,"It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.","Roy T. Bennett, The Light in the Heart","belief,compassion,empathy,experiences,generosity,humility,inspiration,inspirational,inspirational-quotes,inspire,inspiring,joy,kindness,life,life-quotes,living,love,mind,motivation,motivational,optimism,optimistic,peace,positive,positive-affirmation,positive-life,positive-thinking,thoughts"
7,"Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","abundance,action,choice,happiness,hope,inspirational,love,motivational,nature,success"
8,"Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","care,christ,christianity,christmas,clothe,enemies,feed,forgive,golden-rule,guilty,hungry,ill,inspirational,jesus,life,love,motivational,naked,service,unwanted,welcome"
9,"I cannot compromise my respect for your love. You can keep your love, I will keep my respect.","Amit Kalantri, Wealth of Words","breaking-up,breakup,breakups,compromise,human,humans,inspiration,inspirational,inspirational-quotes,love,motivation,motivational,motivational-quotes,philosophy,respect,respectable,respected,respectful,respecting,respecting-others,respecting-yourself,self-respect,wisdom,wisdom-quotes"
10,"That was when it was all made painfully clear to me. When you are a child, there is joy. There is laughter. And most of all, there is trust. Trust in your fellows. When you are an adult...then comes suspicion, hatred, and fear. If children ran the world, it would be a place of eternal bliss and cheer. Adults run the world; and there is war, and enmity, and destruction unending. Adults who take charge of things muck them up, and then produce a new generation of children and say, ""The children are the hope of the future."" And they are right. Children are the hope of the future. But adults are the damnation of the present, and children become adults as surely as adults become worm food. Adults are the death of hope.","Peter David, Tigerheart","adulthood,adults,childhood,children,distrust,hatred,leadership,love,maturity,peace,suspicion,trust,war"
11,"Set the standard! Stop expecting others to show you love, acceptance, commitment, & respect when you don't even show that to yourself.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","acceptance,commitment,expectations,love,motivational,respect,standard"
12,"I will be generous with my love today. I will sprinkle compliments and uplifting words everywhere I go. I will do this knowing that my words are like seeds and when they fall on fertile soil, a reflection of those seeds will grow into something greater.","Steve Maraboli, Life, the Truth, and Being Free","compassion,compliments,inspirational,love,motivational,resolution"
13,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, Who am I to be brilliant, gorgeous, talented, fabulous? Actually, who are you not to be?","Marianne Williamson, A Return to Love: Reflections on the Principles of ""A Course in Miracles""","inspirational,love,motivational,self-empowerment,self-esteem,self-realization,spiritual,truth"
14,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","forgiveness,inspirational,letting-go,life,motivational,moving-forward,truth"
15,"Dare to BeWhen a new day begins, dare to smile gratefully.When there is darkness, dare to be the first to shine a light.When there is injustice, dare to be the first to condemn it.When something seems difficult, dare to do it anyway.When life seems to beat you down, dare to fight back.When there seems to be no hope, dare to find some.When you’re feeling tired, dare to keep going.When times are tough, dare to be tougher.When love hurts you, dare to love again.When someone is hurting, dare to help them heal.When another is lost, dare to help them find the way.When a friend falls, dare to be the first to extend a hand.When you cross paths with another, dare to make them smile.When you feel great, dare to help someone else feel great too.When the day has ended, dare to feel as you’ve done your best.Dare to be the best you can –At all times, Dare to be!","Steve Maraboli, Life, the Truth, and Being Free","compassion,dare-to-be,gratitude,inspirational,life,motivational,seize-the-day,smile,success"
16,"Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.",Steve Maraboli,"destiny,happiness,history,inspirational,let-go,letting-go,life,motivational,moving-on,success"
17,Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,Steve Maraboli,"cry,forgive,happiness,inspiration,learn,letting-go,life,motivational,moving-on,seeds,success,tears,water"
18,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,"Roy T. Bennett, The Light in the Heart","attitude,choice,choices,giving,happiness,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,kindness,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,respect"
19,Incredible change happens in your life when you decide to take control of what you do have power over instead of craving control over what you don't.,"Steve Maraboli, Life, the Truth, and Being Free","change,control,empowerment,inspirational,letting-go,life,motivational"
20,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"Roy T. Bennett, The Light in the Heart","brave,courage,dreams,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,purpose,vision"
21,"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.","Roy T. Bennett, The Light in the Heart","goal,goals,gratitude,happiness,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
